,total,POSITIVE,NEGATIVE,proportion
muslims,10,1,9,0.1
exalted,7,0,7,0.0
confused,7,0,7,0.0
physics,7,0,7,0.0
submitting,7,0,7,0.0
comprehend,8,0,8,0.0
steadfast,7,0,7,0.0
summer,11,0,11,0.0
although,8,0,8,0.0
prevail,7,0,7,0.0
truthful,16,1,15,0.0625
till,7,0,7,0.0
unjust,7,0,7,0.0
forges,7,0,7,0.0
extinguish,15,0,15,0.0
transgressed,7,0,7,0.0
promised,19,2,17,0.10526315789473684
cause,19,0,19,0.0
light,21,2,19,0.09523809523809523
insists,7,0,7,0.0
placed,7,0,7,0.0
filled,8,0,8,0.0
greatly,7,0,7,0.0
akhera,15,0,15,0.0
hated,9,0,9,0.0
passage,7,0,7,0.0
judgment,7,0,7,0.0
liars,7,0,7,0.0
blood,5,1,4,0.2
five,5,0,5,0.0
l,5,2,3,0.4
question,5,1,4,0.2
laid,10,0,10,0.0
hey,5,0,5,0.0
jinn,6,0,6,0.0
resting,8,0,8,0.0
implement,8,0,8,0.0
outcast,6,0,6,0.0
عمران,8,0,8,0.0
فصلت,8,0,8,0.0
battleships,8,0,8,0.0
joseph,9,0,9,0.0
plot,9,0,9,0.0
annihilate,8,0,8,0.0
الرعد,8,0,8,0.0
earthquake,8,0,8,0.0
alliance,8,0,8,0.0
disobey,8,0,8,0.0
asteroid,8,0,8,0.0
wills,8,0,8,0.0
scream,8,0,8,0.0
sea,12,2,10,0.16666666666666666
necks,8,0,8,0.0
satan,6,0,6,0.0
convulsion,8,0,8,0.0
wind,9,0,9,0.0
bitter,9,1,8,0.1111111111111111
sort,6,0,6,0.0
harm,8,0,8,0.0
willingly,8,0,8,0.0
fussilat,8,0,8,0.0
النحل,11,0,11,0.0
attains,8,0,8,0.0
roaring,8,0,8,0.0
command,9,0,9,0.0
يس,8,0,8,0.0
perish,8,0,8,0.0
befall,9,0,9,0.0
drown,9,0,9,0.0
obedience,8,0,8,0.0
arabian,8,0,8,0.0
hellfire,6,0,6,0.0
mankind,6,0,6,0.0
shout,8,0,8,0.0
loud,9,0,9,0.0
conclude,8,0,8,0.0
afflict,8,0,8,0.0
carpets,8,0,8,0.0
الدخان,8,0,8,0.0
painful,6,0,6,0.0
altogether,9,1,8,0.1111111111111111
swallow,9,0,9,0.0
transgression,8,0,8,0.0
آل,8,0,8,0.0
unwillingly,8,0,8,0.0
whether,10,1,9,0.1
spending,5,1,4,0.2
child,10,0,10,0.0
wounded,5,0,5,0.0
missing,5,0,5,0.0
names,5,1,4,0.2
death,7,1,6,0.14285714285714285
zionist,10,0,10,0.0
kids,5,1,4,0.2
musk,5,0,5,0.0
happened,8,3,5,0.375
traitor,8,0,8,0.0
information,6,3,3,0.5
crimes,8,1,7,0.125
hora,6,0,6,0.0
mohammed,5,0,5,0.0
began,5,0,5,0.0
puppet,5,0,5,0.0
boy,5,3,2,0.6
selling,5,1,4,0.2
bs,10,1,9,0.1
percent,5,2,3,0.4
nan,64,64,0,1.0
bidenflation,6,0,6,0.0
message,8,3,5,0.375
idiot,7,1,6,0.14285714285714285
post,7,0,7,0.0
create,7,1,6,0.14285714285714285
email,5,3,2,0.6
city,5,2,3,0.4
x,5,2,3,0.4
trillion,5,1,4,0.2
inbox,5,2,3,0.4
receive,6,1,5,0.16666666666666666
via,6,2,4,0.3333333333333333
contact,5,3,2,0.6
invaded,5,1,4,0.2
woman,5,4,1,0.8
quick,5,0,5,0.0
citizen,6,3,3,0.5
use,6,3,3,0.5
stand,7,1,6,0.14285714285714285
wish,7,6,1,0.8571428571428571
spend,5,1,4,0.2
gazaishere,6,0,6,0.0
expats,6,0,6,0.0
property,6,0,6,0.0
kigali,6,0,6,0.0
